,Attributes,numPoss,%TIME,%TIMERANK,PTS,PPP,PPPRANK,PPPRATING,FGATT,FGMADE,FGMISS,FG%,EFG%,TS%,TSA,TO%,%FT,FTA/FGA,%SF,SCORE%,2 FGATT,2 FGMADE,2 FGMISS,2FG%,3FGATT,3 FGMADE,3 FGMISS,3FG%,3PA/FGA,year,ID,special_year
0,All Possessions,2037,1.0,-,1723,0.846,0.78,Very Good,1363,572,791,0.42,0.469,0.525,1642,0.177,0.169,0.47,0.095,0.409,958,438,520,0.457,405,134,271,0.331,0.3,15,def,15
1,Transition,310,0.152,32%,283,0.913,0.83,Excellent,205,99,106,0.483,0.517,0.563,251,0.177,0.184,0.51,0.145,0.461,160,85,75,0.531,45,14,31,0.311,0.22,15,def,15
2,Overall Half Court,1727,0.848,68%,1440,0.834,0.7,Very Good,1158,473,685,0.408,0.46,0.518,1391,0.177,0.167,0.46,0.086,0.4,798,353,445,0.442,360,120,240,0.333,0.31,15,def,15
3,Out of Bounds (End),148,0.086,47%,106,0.716,0.8,Very Good,104,33,71,0.317,0.356,0.437,121,0.162,0.142,0.38,0.088,0.345,73,25,48,0.342,31,8,23,0.258,0.3,15,def,15
4,Out of Bounds (Side),91,0.053,76%,78,0.857,0.39,Average,64,27,37,0.422,0.5,0.536,73,0.187,0.121,0.31,0.066,0.374,38,17,21,0.447,26,10,16,0.385,0.41,15,def,15
5,After Time Outs,225,0.13,68%,153,0.68,0.93,Excellent,151,46,105,0.305,0.341,0.422,181,0.178,0.164,0.46,0.102,0.333,100,35,65,0.35,51,11,40,0.216,0.34,15,def,15
6,Last 4 Sec. of Shot Clock,119,0.069,96%,76,0.639,0.7,Very Good,100,30,70,0.3,0.335,0.361,105,0.109,0.059,0.12,0.034,0.294,61,23,38,0.377,39,7,32,0.179,0.39,15,def,15
7,Man Defense,1298,0.752,24%,1083,0.834,0.66,Very Good,839,343,496,0.409,0.453,0.521,1040,0.177,0.19,0.54,0.091,0.408,610,269,341,0.441,229,74,155,0.323,0.27,15,def,15
8,Zone Defense,429,0.248,73%,357,0.832,0.74,Very Good,319,130,189,0.408,0.48,0.508,351,0.175,0.096,0.23,0.07,0.373,188,84,104,0.447,131,46,85,0.351,0.41,15,def,15
9,Press,258,0.127,78%,227,0.88,0.55,Good,142,63,79,0.444,0.486,0.583,195,0.213,0.248,0.85,0.074,0.446,97,51,46,0.526,45,12,33,0.267,0.32,15,def,15
